nombre,cue,distrito,sector,nivel,modalidad
ESCUELA DE DANZAS CLASICAS Nº3,610600,La Plata,Estatal,Ciclo de Iniciación,Modalidad Artística
ESCUELA DE DANZAS CLASICAS Nº3,610600,La Plata,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE DANZAS CLASICAS Nº3,610600,La Plata,Estatal,Nivel Superior (**),Modalidad Artística
ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1,614984,La Plata,Estatal,Cursos y Talleres,Modalidad Artística
ESCUELA DE EDUCACIÓN ARTÍSTICA Nº2,614985,La Plata,Estatal,Cursos y Talleres,Modalidad Artística
"CONSERVATORIO DE MÚSICA ""GILARDO-GILARDI""",607946,La Plata,Estatal,Ciclo de Iniciación,Modalidad Artística
"CONSERVATORIO DE MÚSICA ""GILARDO-GILARDI""",607946,La Plata,Estatal,Ciclo Medio,Modalidad Artística
"CONSERVATORIO DE MÚSICA ""GILARDO-GILARDI""",607946,La Plata,Estatal,Nivel Superior (**),Modalidad Artística
ESCUELA DE TEATRO LA PLATA,612884,La Plata,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE TEATRO LA PLATA,612884,La Plata,Estatal,Ciclo de Iniciación,Modalidad Artística
ESCUELA DE TEATRO LA PLATA,612884,La Plata,Estatal,Nivel Superior (**),Modalidad Artística
ESCUELA DE ADULTOS Nº751,613275,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ARTE Nº1 ""REPUBLICA DE ITALIA""",608413,Florencio Varela,Estatal,Ciclo Medio,Modalidad Artística
"ESCUELA DE ARTE Nº1 ""REPUBLICA DE ITALIA""",608413,Florencio Varela,Estatal,Nivel Superior (**),Modalidad Artística
"ESCUELA DE ARTE Nº1 ""REPUBLICA DE ITALIA""",608413,Florencio Varela,Estatal,Ciclo de Iniciación,Modalidad Artística
ESCUELA DE EDUCACIÓN DE ADULTOS Nº706,611427,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº707/24,621187,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº710/02,608848,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº723/02,608848,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE ADULTOS Nº724,621187,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº726/02,608848,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº702 ""LEANDRO N. ALEM""",608848,Florencio Varela,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,614962,Berisso,Estatal,Nivel Secundario,Educación Común
ESCUELA DE ARTE DE BERISSO,614577,Berisso,Estatal,Nivel Superior (**),Modalidad Artística
ESCUELA DE ARTE DE BERISSO,614577,Berisso,Estatal,Ciclo de Iniciación,Modalidad Artística
ESCUELA DE ARTE DE BERISSO,614577,Berisso,Estatal,Ciclo Medio,Modalidad Artística
ESCUELA DE EDUCACIÓN ARTÍSTICA Nº1,615201,Berisso,Estatal,Cursos y Talleres,Modalidad Artística
CENTRO DE ADULTOS Nº704/01,613712,Berisso,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº706,602986,Berisso,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº701 ""MARRUECOS""",613712,Berisso,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"CENTRO DE EDUCACION DE ADULTOS Nº701 ""OLGA COSSETLINI""",604155,Adolfo Alsina,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº702,601358,Adolfo Alsina,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"CENTRO DE ADULTOS Nº703 ""ALFONSINA STORNI""",601343,Adolfo Alsina,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA ESPECIAL Nº501 ""FUERTE GENERAL BELGRANO""",606745,Adolfo Alsina,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""FUERTE GENERAL BELGRANO""",606745,Adolfo Alsina,Estatal,"Residencia Laboral,Pasantias, Artística",Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""FUERTE GENERAL BELGRANO""",606745,Adolfo Alsina,Estatal,Formación Profesional,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""FUERTE GENERAL BELGRANO""",606745,Adolfo Alsina,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""FUERTE GENERAL BELGRANO""",606745,Adolfo Alsina,Estatal,Nivel Inicial,Modalidad Especial
"ANEXO ESCUELA ESPECIAL Nº502 ""CARMEN MAJOREL""",616635,Adolfo Alsina,Estatal,Nivel Primario,Modalidad Especial
"ANEXO ESCUELA ESPECIAL Nº502 ""CARMEN MAJOREL""",616635,Adolfo Alsina,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""DON JOSÉ DE SAN MARTÍN""",616635,Adolfo Alsina,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""DON JOSÉ DE SAN MARTÍN""",616635,Adolfo Alsina,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº502 ""DON JOSÉ DE SAN MARTÍN""",616635,Adolfo Alsina,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""PROF. MARIO VITALONE""",609642,Alberti,Estatal,Nivel Inicial,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""PROF. MARIO VITALONE""",609642,Alberti,Estatal,Formación Integral,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""PROF. MARIO VITALONE""",609642,Alberti,Estatal,Nivel Primario,Modalidad Especial
"ESCUELA ESPECIAL Nº501 ""PROF. MARIO VITALONE""",609642,Alberti,Estatal,"Residencia Laboral,Pasantias, Artística",Modalidad Especial
CENTRO DE EDUCACION FISICA Nº68,616247,Alberti,Estatal,Educación Física (C.E.F.),Educación Física
"JARDÍN DE INFANTES Nº901 ""DR. ELVIO TOCCALINO""",603493,Alberti,Estatal,Nivel Inicial,Educación Común
"JARDÍN DE INFANTES Nº902 ""MARIQUITA SANCHEZ DE THOMPSON""",609641,Alberti,Estatal,Nivel Inicial,Educación Común
"JARDÍN DE INFANTES Nº903 ""GABRIELA MISTRAL""",603492,Alberti,Estatal,Nivel Inicial,Educación Común
CENTRO DE ADULTOS Nº712/02,601816,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº713/02,601816,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº715/03,613279,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº716/14,613080,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº717/03,613279,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº718/04,604372,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº720/06,613492,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº721/06,613492,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº730/04,604372,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº733/14,613080,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº740/03,613279,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
CENTRO DE ADULTOS Nº741/06,613492,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
"ESCUELA DE ADULTOS Nº702 ""MAESTRO EDUARDO TORRES""",601816,Almirante Brown,Estatal,Nivel Primario,Modalidad de Jóvenes y Adultos
